name,appid_steam_games,genre,tags,positive_rating
Size Matters,976700,"Action, Adventure, Casual, Indie, Racing, Simulation","Simulation, Casual, Indie, Science, Education, Sandbox, Funny, Management, Puzzle, First-Person, Action, Singleplayer, Replay Value, Time Management, Atmospheric, Choices Matter, Relaxing, Nudity, Realistic, Great Soundtrack",87.3
Sketch Tales,384090,"Action, Adventure, Indie, RPG, Early Access","Early Access, Adventure, Sandbox, Indie, Action, RPG, Open World, Action RPG, First-Person, Singleplayer, Hand-drawn",67.1
Ski-World Simulator,273850,Simulation,Simulation,17.9
Skin Stealers,1212330,Simulation,"Simulation, Zombies, Tower Defense, Survival Horror",66.7
Skyscraper Simulator,252910,Simulation,"Simulation, Building, Story Rich, Hentai, Gore, Nudity, Female Protagonist, Anime, Singleplayer",18.8
Sleeping Dogs: Definitive Edition,307690,"Action, Adventure, Racing","Open World, Action, Martial Arts, Crime, Singleplayer, Third Person, Story Rich, Adventure, Parkour, Multiplayer, Gore, Racing, Atmospheric, Mature, Shooter, Sandbox, Third-Person Shooter, Great Soundtrack, Fighting, Remake",92.6
Slightly Heroes VR,982440,"Action, Casual","Action, Casual, VR, FPS, Family Friendly, Shooter, Multiplayer, Singleplayer, VR Only",66.7
Slime Climb,1311140,"Adventure, Indie","Indie, Adventure, Platformer, Fantasy, Pixel Graphics, 2D Platformer",75
Slimy Sextet,1189070,"Adventure, Casual, Indie",NA,NA
Small Town Terrors: Galdor's Bluff Collector's Edition,432760,"Adventure, Casual","Adventure, Casual, Hidden Object",88.2
Small Town Terrors: Livingston,432770,"Adventure, Casual","Adventure, Casual, Hidden Object, Point & Click, Puzzle, 2D, Horror, Zombies, Atmospheric, Mystery, Post-apocalyptic, Survival Horror, Singleplayer, Indie, Sequel",71.4
Small Town Terrors Pilgrim's Hook Collector's Edition,302110,Adventure,"Adventure, Hidden Object, Point & Click, Casual, Puzzle, Singleplayer, 2D, Horror, Lovecraftian, Mystery, Female Protagonist, Conversation, Story Rich",79.2
Smoke and Sacrifice,695100,"Adventure, Indie, RPG","RPG, Adventure, Survival, Female Protagonist, Indie, Crafting, 2D, Singleplayer, Open World",76.9
Smugglers 5: Invasion,326230,"Indie, RPG, Simulation, Strategy","Strategy, RPG, Indie, Simulation, Space",53.3
Sniper: Ghost Warrior,34830,Action,"Action, Sniper, FPS, Singleplayer, Multiplayer, Stealth, Shooter, First-Person, Bullet Time, Adventure, Military, Simulation, War, Tactical",57.3
Sniper Art of Victory,271500,Action,"Action, Sniper, FPS, World War II, Singleplayer, Shooter, First-Person",30
Sniper Ghost Warrior 2,34870,Action,"Sniper, Action, FPS, Multiplayer, Shooter, Stealth, Singleplayer, First-Person, Military, Tactical, Open World, Co-op, Adventure, Strategy, Online Co-Op, Bullet Time, Simulation, Controller, Difficult, Atmospheric",74.9
Soccering,1012530,"Casual, Indie, Sports","Multiplayer, Online Co-Op, Local Co-Op, Character Customization, 3D, Physics, Arcade, Football (Soccer), Co-op, Indie, Funny, Family Friendly, Casual, Sports, e-sports, Minimalist, Local Multiplayer, Third Person, Early Access, Cute",88.9
Soccer Pinball Thrills,373820,"Casual, Simulation, Sports","Casual, Simulation, Sports, Pinball",31.6
Soko Match,518320,"Casual, Indie","Indie, Casual, Puzzle, Sokoban",72.7
SolForge,232450,"Casual, Free to Play, RPG, Strategy","Free to Play, Card Game, Strategy, Trading Card Game, Casual, RPG, Multiplayer, Early Access",65.3
Sonic Adventure 2 ,213610,Action,"Action, Platformer, Great Soundtrack, 3D Platformer, Adventure, Fast-Paced, Classic, Replay Value, Singleplayer, Third Person, Local Multiplayer, Retro, Family Friendly, Story Rich, Multiplayer, Split Screen, Racing, 3D, Sci-fi, Comedy",87.6
Sonic and SEGA All Stars Racing,34190,Racing,"Racing, Local Multiplayer, Arcade, Multiplayer, Split Screen, Great Soundtrack, Action, Family Friendly, Controller, Fast-Paced, Singleplayer, 3D, 4 Player Local, Colorful",85.2
Sorcerer King: Rivals,496730,"Adventure, Indie, RPG, Strategy","4X, Tactical RPG, Grand Strategy, Sandbox, PvE, Turn-Based, Turn-Based Strategy, Building, Strategy RPG, Character Customization, RPG, Strategy, 2D, 3D, Third Person, Dragons, Lore-Rich, Story Rich, Choices Matter, Turn-Based Combat",62.6
Soul Harvest,425260,"Action, Indie, Strategy","Indie, Strategy, Action, Pixel Graphics, Local Multiplayer, Local Co-Op, RTS, Arcade, Retro, 4 Player Local",80
Soul Reaper,1163660,"Adventure, Indie, RPG, Strategy","Creature Collector, Loot, Strategy RPG, 2D, JRPG, Metroidvania, Turn-Based Strategy, Old School, Party-Based RPG, Funny, Choose Your Own Adventure, Dungeon Crawler, Exploration, Turn-Based, Character Customization, RPG, Strategy, Top-Down, Story Rich, Multiple Endings",60
South Park: The Stick of Truth,213670,"Action, Adventure, RPG","RPG, Comedy, Adventure, Funny, Turn-Based, Dark Humor, Singleplayer, Action, Mature, 2D, Satire, Nudity, Cartoon, Open World, Story Rich, Fantasy, Epic, Turn-Based Strategy, Zombies, JRPG",97.6
Space Ace,240340,"Action, Adventure, Casual","Adventure, Casual, Action, Quick-Time Events, FMV, Classic, Space, Arcade, Cartoon",83.2
Space Avengers,1225220,Action,"Action, Aliens, Space, Retro, Arcade, Shooter",36.4
Space Channel 5: Part 2,71260,Action,"Rhythm, Action, Female Protagonist, Great Soundtrack, Music, Classic, Retro, Anime",89.1
Space Hole 2018,818410,"Adventure, Indie","Psychedelic, Colorful, 3D Platformer, Metroidvania, Precision Platformer, Puzzle-Platformer, Space Sim, Flight, 3D, Exploration, Abstract, Stylized, Adventure, Platformer, Indie, Space, Puzzle, Simulation, Action, Third Person",88.4
Space Hulk Ascension,317620,"RPG, Strategy","Warhammer 40K, Strategy, Turn-Based Tactics, RPG, Games Workshop, Turn-Based, Tactical, Board Game, Sci-fi, Turn-Based Strategy, Singleplayer, Action",73.2
Space Legends: At the Edge of the Universe,328880,"Adventure, Casual","Casual, Adventure, Hidden Object, Point & Click, Sci-fi",42.7
